,en,ber,gv,jap,kj,kwn,lun,mos,ng,nyk,ss
0,"Is there a red sandal here?| bleu: 100.0, sim: 1.0","Is there stars around here?| bleu: 19.43, sim: 0.3499999940395355","Open a new tab| bleu: 7.55, sim: -0.05000000074505806","""Is there any red cedars?| bleu: 15.62, sim: 0.5199999809265137","Is there any other place in which you live?| bleu: 9.29, sim: 0.25","Is there a better place?| bleu: 27.48, sim: 0.41999998688697815","Has there ever been fire?| bleu: 8.17, sim: 0.25999999046325684","Is this unleavened bread?| bleu: 8.52, sim: 0.23000000417232513","Is there a figurative place?| bleu: 27.48, sim: 0.41999998688697815","Is there any powerful miracle?| bleu: 15.21, sim: 0.28999999165534973","Is There a Battle for People in the world?| bleu: 5.52, sim: 0.15000000596046448"
1,"What color is the bike?| bleu: 100.0, sim: 1.0","What color is that bicycle?| bleu: 32.47, sim: 0.9399999976158142","What is your Facebook username?| bleu: 10.68, sim: 0.2800000011920929","What profit has been done to Tema?| bleu: 6.57, sim: 0.15000000596046448","How do humans feel about their repentance?| bleu: 5.52, sim: 0.05999999865889549","What can we learn from Jesus'example?| bleu: 7.81, sim: 0.17000000178813934","What is the Mount of Olives?| bleu: 15.62, sim: 0.3799999952316284","What shows that Paul was long - suffering?| bleu: 5.67, sim: 0.09000000357627869","How does a person's insight become wise?| bleu: 5.52, sim: 0.20000000298023224","What is water?| bleu: 12.75, sim: 0.27000001072883606","What tools have been published in gold?| bleu: 6.57, sim: 0.25999999046325684"
2,"Where is the dog laying?| bleu: 100.0, sim: 1.0","Where's the dog?| bleu: 21.44, sim: 0.7200000286102295","What is your Facebook password?| bleu: 9.65, sim: 0.12999999523162842","Where is dogs? Where is the dogs? Where is the dogs?| bleu: 11.36, sim: 0.6299999952316284","Where would you come from the dead?| bleu: 7.27, sim: 0.4300000071525574","Where is it?| bleu: 21.44, sim: 0.5","Or where?| bleu: 0.0, sim: 0.36000001430511475","How so?| bleu: 0.0, sim: 0.1599999964237213","Where are humans?| bleu: 11.52, sim: 0.28999999165534973","Where does light shine in one place?| bleu: 6.57, sim: 0.14000000059604645","What was the dogs?| bleu: 10.4, sim: 0.5299999713897705"
3,"Is this a child room?| bleu: 100.0, sim: 1.0","Is this a bedroom?| bleu: 34.98, sim: 0.6100000143051147","Was this review?| bleu: 11.52, sim: 0.2800000011920929","""Isn't this the child become a little child?| bleu: 5.93, sim: 0.800000011920929","Where is the child?| bleu: 10.4, sim: 0.7400000095367432","Is that really a child?| bleu: 19.3, sim: 0.8199999928474426","Is this young child still a child?| bleu: 16.52, sim: 0.800000011920929","Is that true of this young woman?| bleu: 7.27, sim: 0.5400000214576721","Is this child better?| bleu: 20.8, sim: 0.7099999785423279","Does that child?| bleu: 11.52, sim: 0.8100000023841858","Would the child have the child's ability?| bleu: 6.57, sim: 0.7699999809265137"
4,"What kind of animal is shown?| bleu: 100.0, sim: 1.0","What is the animal so beautiful?| bleu: 9.29, sim: 0.5899999737739563","What is your Windows Live ID?| bleu: 8.64, sim: 0.23000000417232513","What does the animals have to me? Or what is the profit to me, or to its profit?| bleu: 2.39, sim: 0.41999998688697815","What does it mean to have a precious animal?| bleu: 5.52, sim: 0.5","What do animals show?| bleu: 8.52, sim: 0.7599999904632568","What does the wild beast reveal?| bleu: 7.81, sim: 0.5199999809265137","What kinds of animals are highlighted?| bleu: 8.64, sim: 0.7799999713897705","What animal animal choice does kindness show?| bleu: 7.27, sim: 0.6299999952316284","What is represented by the incense?| bleu: 8.64, sim: 0.30000001192092896","What kind of animal is produced?| bleu: 64.35, sim: 0.8100000023841858"
5,"How many yellow vases?| bleu: 100.0, sim: 1.0","How many dress does her have?| bleu: 14.54, sim: 0.30000001192092896","What is your Windows Live ID?| bleu: 6.57, sim: 0.05999999865889549","How many say they at the same time? of whom do the rest know how many things they are of John's.| bleu: 3.64, sim: 0.12999999523162842","What do many people say?| bleu: 9.65, sim: 0.20000000298023224","How were they used?| bleu: 12.7, sim: 0.09000000357627869","What Is the difference?| bleu: 10.68, sim: 0.1599999964237213","How have many shown their identity as Christians?| bleu: 6.27, sim: 0.1599999964237213","How do many survive?| bleu: 14.06, sim: 0.10999999940395355","How have many been able to stop the printing press?| bleu: 4.93, sim: 0.17000000178813934","In what way survived?| bleu: 10.68, sim: 0.10999999940395355"
6,"What color is the tip of the birds' tails?| bleu: 100.0, sim: 1.0","What's your favorite TV TV TV TV TV TV restaurant?| bleu: 3.75, sim: 0.09000000357627869","Display ID| bleu: 0.0, sim: 0.07000000029802322","For what profit is there of any kind of bird, that is, from the birds of the sky?| bleu: 4.57, sim: 0.3799999952316284","What do these pictures of heaven look like?| bleu: 5.61, sim: 0.3199999928474426","What do the birds of heaven represent?| bleu: 6.08, sim: 0.5099999904632568","What are some of the treasures of birds that make?| bleu: 8.91, sim: 0.5299999713897705","What do the birds of heaven represent?| bleu: 6.08, sim: 0.5099999904632568","What danger is well - known?| bleu: 5.63, sim: 0.12999999523162842","What kind of birds do birds eat?| bleu: 5.66, sim: 0.4399999976158142","What is the source of birds?| bleu: 10.76, sim: 0.550000011920929"
7,"What color is the wall?| bleu: 100.0, sim: 1.0","What color color color is red?| bleu: 18.58, sim: 0.5199999809265137","What is your Facebook username?| bleu: 10.68, sim: 0.2800000011920929","What is the wall to the wall, that leads to the wall?| bleu: 15.81, sim: 0.7699999809265137","Where was that walls?| bleu: 8.75, sim: 0.7200000286102295","What is it?| bleu: 12.75, sim: 0.4300000071525574","What is the walls?| bleu: 20.8, sim: 0.7900000214576721","What is that?| bleu: 12.75, sim: 0.4000000059604645","What sort of color is there?| bleu: 15.62, sim: 0.6899999976158142","What walls was the wall?| bleu: 32.47, sim: 0.7900000214576721","What is the walls of the walls?| bleu: 13.13, sim: 0.7400000095367432"
8,"Is the catcher wearing safety gear?| bleu: 100.0, sim: 1.0","Are you scaring the scar?| bleu: 8.17, sim: 0.1899999976158142","What is your Windows Live password?| bleu: 6.57, sim: 0.10000000149011612","Can any bear the patience of him that is patience?| bleu: 4.46, sim: 0.09000000357627869","Does he hold well - paying clothing?| bleu: 5.52, sim: 0.28999999165534973","Are we Satan's snares?| bleu: 7.16, sim: 0.18000000715255737","Do I shield a helmet?| bleu: 6.87, sim: 0.4399999976158142","Are we looking for protection?| bleu: 6.87, sim: 0.5699999928474426","Is it difficult to be like a sick person?| bleu: 4.99, sim: 0.14000000059604645","Would the disease be running?| bleu: 8.17, sim: 0.1899999976158142","Will this chariot take steps to safety?| bleu: 6.57, sim: 0.4399999976158142"
9,"How many dishes of food are in the picture?| bleu: 100.0, sim: 1.0","How many apple trees are there in the garden?| bleu: 13.13, sim: 0.2800000011920929","What is your SIP login commandment?| bleu: 4.28, sim: 0.17000000178813934","How long shall there be any meat for them that are flesh?| bleu: 4.07, sim: 0.36000001430511475","What do many foods represent?| bleu: 4.96, sim: 0.7599999904632568","How much food is worth it?| bleu: 5.63, sim: 0.5699999928474426","How do many food differ from this vision?| bleu: 6.03, sim: 0.7400000095367432","What will we consider in this article?| bleu: 5.11, sim: 0.09000000357627869","How, though, are many food being seen?| bleu: 6.27, sim: 0.7599999904632568","How important is food?| bleu: 5.17, sim: 0.5899999737739563","What more food is represented by this song?| bleu: 5.07, sim: 0.5899999737739563"
10,"How do you turn on the cold water?| bleu: 100.0, sim: 1.0","How water is the water?| bleu: 11.71, sim: 0.550000011920929","Would you like to store the password for %s in %s?| bleu: 3.74, sim: 0.15000000596046448","Wherefore do ye suck the cold of cold, and cause the waters that fail?| bleu: 5.82, sim: 0.6800000071525574","How can you find water cold?| bleu: 7.38, sim: 0.8100000023841858","How can you walk in water?| bleu: 11.74, sim: 0.4300000071525574","How would you react soon?| bleu: 6.48, sim: 0.14000000059604645","How do you water down the water?| bleu: 23.88, sim: 0.6100000143051147","How do you feel about life's water?| bleu: 22.81, sim: 0.5199999809265137","How do you view the waters of the sea?| bleu: 17.75, sim: 0.2800000011920929","How can you build water?| bleu: 11.71, sim: 0.4399999976158142"
