en,de,fr,ru,nl,it
Is there a red sandal here?,Is there a red sandal here?,Is there a red sandal here?,Is there a red sandal?,Is there a red sandal here?,Is there a red sandal here?
What color is the bike?,What's the color of the bike?,What is the colour of the bike?,What color is the bike?,What color is the bike?,What color is the bike?
Where is the dog laying?,Where's the dog?,Where's the dog lying?,Where's the dog?,Where's the dog?,Where's the dog?
Is this a child room?,Is this a nursery?,Is this a child's room?,Is this the children's room?,Is this a nursery?,Is this a kid's room?
What kind of animal is shown?,What kind of animal is being shown?,What kind of animal is shown?,What kind of animal is that?,What kind of animal is shown?,What kind of animal is shown?
How many yellow vases?,How many yellow vases?,How many yellow vases?,How many yellow vases?,How many yellow vases?,How many yellow vases?
What color is the tip of the birds' tails?,What color is the tip of the tail of birds?,What is the colour of the tip of the tail of birds?,What color is the tip of a bird's tail?,What color is the tip of the tail of the birds?,What color is the tip of the birds' tails?
What color is the wall?,What color is the wall?,What is the colour of the wall?,What color is the wall?,What color is the wall?,What color is the wall?
Is the catcher wearing safety gear?,Is the trapper carrying safety equipment?,Does the catcher carry security equipment?,Does the kidnapper wear protective gear?,Is the catcher wearing safety gear?,Does the receiver wear security tools?
How many dishes of food are in the picture?,How many dishes are in the picture?,How many dishes are in the picture?,How much food is there in the picture?,How many dishes are in the picture?,How many food dishes are in the picture?
How do you turn on the cold water?,How do you turn on the cold water?,How do you turn on cold water?,How to turn on cold water?,How do you turn on the cold water?,How do you turn on the cold water?
Do you think these two boys are brothers?,Do you think these two boys are brothers?,Do you think these two boys are brothers?,You think these guys are brothers?,You think these two boys are brothers?,You think these two guys are brothers?
What drink is shown?,What drink is being shown?,What drink is shown?,What drink is shown?,What drink is shown?,What drink is shown?
Is the bear sitting?,Is the bear sitting?,Is the bear sitting?,Is the bear sitting?,Is the bear sitting?,Is the bear sitting?
Is this man cooking at home?,Is this man cooking at home?,Does this man cook at home?,Is this man cooking at home?,Is this man cooking at home?,This man cooks at home?
What are the men sitting on?,What are the men sitting on?,What are the men sitting on?,What are the men sitting on?,What are the men on?,What are men sitting on?
What time is it?,What time is it?,What time is it?,What time is it?,What time is it?,What time is it?
Who are the men in black?,Who are the men in black?,Who are the men in black?,Who are these people in black?,Who are the men in black?,Who are the men in black?
Overcast or sunny?,Overcrowded or sunny?,Too cloudy or sunny?,Rejected or sunny?,Cloudy or sunny?,Covered or sunny?
