,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,"('Is there a red sandal here?', 1.0)","('Is there a red sandal?', 0.99)","('Is red sandal here?', 0.97)","('Is there a red sand here?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"('What color is the bike?', 1.0)","('What color is your bike?', 0.98)","('What is the color of the bike?', 0.97)","(""What's the color of the bike?"", 0.96)","('What color is the bicycle?', 0.96)","('What color is this bicycle?', 0.95)","('What color was the bicycle?', 0.95)","('What color is that bicycle?', 0.94)","('What color is a bicycle?', 0.94)","('What color does this bicycle have?', 0.94)","('What is the colour of the bike?', 0.93)","('What is the color of the bicycle?', 0.93)","('What is the color of a bicycle?', 0.92)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"('Where is the dog laying?', 1.0)","(""Where's the dog lay?"", 0.98)","(""Where's the dog lying down?"", 0.96)","(""Where's the dog lying?"", 0.95)","('Where is the dog lying?', 0.95)","('Where will the dogs lay?', 0.92)","(""Where's the dog lie?"", 0.91)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"('Is this a child room?', 1.0)","(""Is this a child's room?"", 0.97)","(""Was this a child's room?"", 0.97)","(""Is that a child's room?"", 0.96)","(""Is this really a child's room?"", 0.96)","('Is this a room for children?', 0.95)","(""Is this the child's room?"", 0.95)","(""Is this a kid's room?"", 0.95)","('Is the child in such a room?', 0.94)","(""Is it a children's room?"", 0.94)","('Is it a room for children?', 0.94)","('Was this child in the room?', 0.94)","('Is that child a room?', 0.94)","(""Is this a children's room?"", 0.94)","(""Is this the children's room?"", 0.94)","('Is this child in the room?', 0.94)","('Is it a room for a child?', 0.94)","('Is this child in a room?', 0.93)","('So, then, is that child in that room?', 0.93)","('Is this child a room?', 0.93)","('Is it a room where a child lives?', 0.91)","('Was this child inside the room?', 0.91)",,,,,,,,,,,,,,,,,,,
4,"('What kind of animal are shown?', 1.0)","('What kind of animal is shown?', 1.0)","('What type of animal is shown?', 0.99)","('What kind of animal was shown?', 0.99)","('What kind of animal is being shown?', 0.98)","('What animal is shown?', 0.98)","('What kind of animal is displayed?', 0.96)","('What kind of animal is it showing?', 0.95)","('What kind of animal is it displayed?', 0.95)","('What kind of animal displayed?', 0.95)","('Which animal is shown?', 0.95)","('What kind of animal is showing?', 0.94)","('What kind of animal is represented?', 0.94)","('What kind of animal are they showing?', 0.93)","('What kind of animal does it show?', 0.93)","('What kind of animal is indicated?', 0.92)","('Which animal has been shown?', 0.92)","('What kind of animal is manifested?', 0.91)",,,,,,,,,,,,,,,,,,,,,,,
5,"('How many yellow vases?', 1.0)","('How many yellow vases do you have?', 0.95)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"(""What color is the tip of the birds' tails?"", 1.0)","(""Which color is the tip of the birds'tails?"", 0.99)","(""What color is the tip of birds'tails?"", 0.99)","('What color is the tip of the bird tails?', 0.98)","('What color is the tip of the tails of the birds?', 0.96)","(""What color is the tip of the bird's tails?"", 0.96)","(""What color is the top of the birds' tails?"", 0.95)","('What color is the tip of the tail of birds?', 0.95)","('What color is the tip of the tail of the birds?', 0.95)","(""What is the color at the tip of the birds'tail?"", 0.94)","('What color is the tip of the bird tail?', 0.93)","(""What color are the birds' tails?"", 0.93)","(""What is the color of the bird's tails?"", 0.93)","(""What color is the tip of a bird's tail?"", 0.93)","('What is the colour of the tip of the tail of birds?', 0.92)","(""What color is the tip of the bird's tail?"", 0.92)","(""What is the color of the bird's tail?"", 0.92)","('What color does the tail of these birds have?', 0.92)","('What is the color of the tail of the bird?', 0.91)",,,,,,,,,,,,,,,,,,,,,,
7,"('What color is the wall?', 1.0)","('What color is that wall?', 0.99)","('What color was the wall?', 0.99)","('What color of the wall?', 0.99)","('What color does the wall have?', 0.98)","('What is the color of the Wall?', 0.98)","('What is the color of the wall?', 0.98)","('What color does that wall have?', 0.97)","('What were the color of the wall?', 0.97)","('Which color of the wall?', 0.97)","('What color does this wall have?', 0.97)","('What is the color on the wall?', 0.96)","(""What's the color of that wall?"", 0.96)","('What is the colour of the wall?', 0.94)","('What color does the walls represent?', 0.93)",,,,,,,,,,,,,,,,,,,,,,,,,,
8,"('Is the catcher wearing safety gear?', 1.0)","('Is the catcher wearing safety equipment?', 0.97)","('Is the catcher wearing the safety equipment?', 0.95)","('Does the catcher wear safety equipment?', 0.95)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"('How many dishes of food are in the picture?', 1.0)","('How many food dishes are in the picture?', 0.99)","('How many dishes of food are here?', 0.95)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
